"station","layer","latitude","longitude","cbSeg92","state","stationGrpName","parmName","gamName","gamOption","periodName","seasonName","gamDiff.bl.mn.obs","gamDiff.cr.mn.obs","gamDiff.abs.chg.obs","gamDiff.pct.chg","gamDiff.chg.pval","dep","mapLayer"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Annual",4.627120913,3.484779449,-1.142341464,-24.6879536,0.127855522,"chla","CHLA|Surface|Annual"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Mar-May",5.088135343,4.644847505,-0.443287838,-8.71218646,0.717311888,"chla","CHLA|Surface|Mar-May"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Jul-Sep",9.649864501,5.91279142,-3.737073081,-38.72668969,0.013587481,"chla","CHLA|Surface|Jul-Sep"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Annual",6.477850827,3.824231901,-2.653618925,-40.96449573,0.011391358,"chla","CHLA|Surface|Annual"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Mar-May",7.578350745,4.245724383,-3.332626361,-43.97561519,0.017981748,"chla","CHLA|Surface|Mar-May"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Jul-Sep",10.66938793,6.957823612,-3.711564321,-34.78704068,0.047472125,"chla","CHLA|Surface|Jul-Sep"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Annual",4.430809137,4.501365199,0.070556062,1.592396782,0.926848199,"chla","CHLA|Surface|Annual"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Mar-May",5.458050507,5.264260722,-0.193789786,-3.550531192,0.874459238,"chla","CHLA|Surface|Mar-May"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Jul-Sep",6.061538863,7.30109106,1.239552197,20.44946382,0.32671797,"chla","CHLA|Surface|Jul-Sep"
"CB3.1","Surface",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Annual",6.557355722,7.261772465,0.704416743,10.74239027,0.624021746,"chla","CHLA|Surface|Annual"
"CB3.1","Surface",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Mar-May",7.407884426,8.017827804,0.609943378,8.233705376,0.766363639,"chla","CHLA|Surface|Mar-May"
"CB3.1","Surface",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Jul-Sep",9.563384347,10.82391802,1.260533672,13.1808325,0.585728093,"chla","CHLA|Surface|Jul-Sep"
"CB3.2","Surface",39.16369,-76.30631,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Annual",5.986347189,11.93635521,5.950008022,99.39296592,0.000324928,"chla","CHLA|Surface|Annual"
"CB3.2","Surface",39.16369,-76.30631,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Mar-May",6.084040868,14.64588214,8.561841268,140.7262287,0.001479105,"chla","CHLA|Surface|Mar-May"
"CB3.2","Surface",39.16369,-76.30631,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Jul-Sep",7.939577389,14.9324518,6.992874413,88.07615407,0.003596265,"chla","CHLA|Surface|Jul-Sep"
"CB3.3C","Surface",38.99596,-76.35967,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Annual",8.425396417,11.37281416,2.947417738,34.98254079,0.062090774,"chla","CHLA|Surface|Annual"
"CB3.3C","Surface",38.99596,-76.35967,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Mar-May",7.628012257,11.7932904,4.16527814,54.60502684,0.026766869,"chla","CHLA|Surface|Mar-May"
"CB3.3C","Surface",38.99596,-76.35967,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Jul-Sep",12.62689948,15.17162364,2.544724158,20.15319883,0.275208926,"chla","CHLA|Surface|Jul-Sep"
"CB4.1C","Surface",38.82593,-76.39945,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Chlorophyll a (Corrected) [ug/L]","Non-Linear Trend",2,"Full Period","Annual",6.634121304,10.46303205,3.828910747,57.71541659,0.000892854,"chla","CHLA|Surface|Annual"
